image_id,width,height,aspect_ratio,format,mode,size_bytes,flags,brightness_mean,contrast_std,sharpness_gradient
cmtfa6vzq0bygyc87azriik11,1793,3234,0.554,jpeg,RGB,698435,"['unusually_high_contrast', 'possibly_blurry']",170.7,99.2,3.33
cmtfa6vzh0bybyc87wrzcb4kv,1365,1693,0.806,jpeg,RGB,249775,"['unusually_high_contrast', 'possibly_blurry']",176.3,93.8,2.53
cmtfa6vz80by6yc87khcc47d2,1836,3169,0.579,jpeg,RGB,632736,"['unusually_high_contrast', 'possibly_blurry']",159.2,99.9,2.32
cmtfa6vz00by1yc872l5n30p5,1362,2275,0.599,jpeg,RGB,321059,"['unusually_high_contrast', 'possibly_blurry']",188.5,86.2,2.55
cmtfa6vyr0bxwyc87o23uz2ba,1508,2003,0.753,jpeg,RGB,323530,"['unusually_high_contrast', 'possibly_blurry']",171.6,92.8,2.44
cmtfa6vyj0bxryc87dep3x0rw,1632,1869,0.873,jpeg,RGB,342329,"['unusually_high_contrast', 'possibly_blurry']",173.6,98.6,2.95
cmtfa6vyc0bxmyc87rxepp5vh,1828,2905,0.629,jpeg,RGB,486446,"['unusually_high_contrast', 'possibly_blurry']",175.5,94.4,1.81
cmtfa6vy40bxhyc87y0bdonrk,1836,2286,0.803,jpeg,RGB,578510,"['unusually_high_contrast', 'possibly_blurry']",154.9,101.1,3.77
cmtfa6vxv0bxcyc875v3f2gp6,1600,1919,0.834,jpeg,RGB,420296,"['unusually_high_contrast', 'possibly_blurry']",156.8,98.2,3.67
cmtfa6vxl0bx7yc87y3zk29oe,1617,2213,0.731,jpeg,RGB,310678,['possibly_blurry'],194.6,76.0,1.65
cmtfa6vxb0bx2yc874uuf7nnu,1506,2219,0.679,jpeg,RGB,299406,"['unusually_high_contrast', 'possibly_blurry']",190.9,85.2,1.91
cmtfa6vx20bwxyc87dn4j9wmv,1563,2119,0.738,jpeg,RGB,363368,"['unusually_high_contrast', 'possibly_blurry']",157.7,99.7,2.33
cmtfa6vwr0bwsyc87vxqr13ge,1736,2987,0.581,jpeg,RGB,499410,['possibly_blurry'],168.5,83.5,1.72
cmtfa6vwi0bwnyc8722757kdf,1286,2199,0.585,jpeg,RGB,348887,"['unusually_high_contrast', 'possibly_blurry']",162.4,101.3,3.43
cmtfa6vw90bwiyc87wkp8qjt2,1561,2366,0.66,jpeg,RGB,330316,['possibly_blurry'],183.6,84.2,1.7
cmtfa6vw10bwdyc8758iem1ui,1178,2359,0.499,jpeg,RGB,221379,"['unusually_high_contrast', 'possibly_blurry']",188.9,95.8,1.73
cmtfa6vvs0bw8yc87i6gqdu6r,1147,1680,0.683,jpeg,RGB,151740,['possibly_blurry'],202.3,79.1,1.79
cmtfa6vvk0bw3yc877l44r91j,1578,2090,0.755,jpeg,RGB,334527,"['unusually_high_contrast', 'possibly_blurry']",179.4,85.3,2.31
cmtfa6vvc0bvyyc874fjsirf1,1367,2049,0.667,jpeg,RGB,271795,"['unusually_high_contrast', 'possibly_blurry']",164.6,100.7,2.13
cmtfa6vv40bvtyc873b0giaes,1379,2170,0.635,jpeg,RGB,279713,['possibly_blurry'],193.4,70.4,1.76
cmtfa6vuv0bvoyc87x0gst9jd,1788,2789,0.641,jpeg,RGB,620458,"['unusually_high_contrast', 'possibly_blurry']",148.8,100.8,3.17
cmtfa6vuo0bvjyc87rqaxhto5,1329,2074,0.641,jpeg,RGB,298909,['possibly_blurry'],177.3,79.7,2.22
cmtfa6vug0bveyc87io4c31t4,1487,2446,0.608,jpeg,RGB,381556,"['unusually_high_contrast', 'possibly_blurry']",176.8,96.3,2.57
cmtfa6vu70bv9yc87y9jzlo9t,1180,1767,0.668,jpeg,RGB,212959,"['unusually_high_contrast', 'possibly_blurry']",161.8,103.2,2.35
cmtfa6vtx0bv4yc87543fj2sp,1210,2024,0.598,jpeg,RGB,215682,"['unusually_high_contrast', 'possibly_blurry']",193.4,85.6,2.07
cmtfa6vtm0buzyc87wzmmen30,1086,1714,0.634,jpeg,RGB,230149,"['unusually_high_contrast', 'possibly_blurry']",172.4,98.9,3.38
cmtfa6vtc0buuyc878ab226g2,1348,1925,0.7,jpeg,RGB,251755,"['unusually_high_contrast', 'possibly_blurry']",185.2,90.2,2.21
cmtfa6vt20bupyc87kbwteh16,1033,1631,0.633,jpeg,RGB,150625,"['unusually_high_contrast', 'possibly_blurry']",182.6,95.5,1.97
cmtfa6vss0bukyc875drlansb,1518,1963,0.773,jpeg,RGB,247010,['possibly_blurry'],189.3,84.9,1.59
cmtfa6vsh0bufyc873x4xavxc,1589,2021,0.786,jpeg,RGB,396377,"['unusually_high_contrast', 'possibly_blurry']",177.3,87.4,3.58
cmtfa6vs70buayc870y5yj7sc,1625,2378,0.683,jpeg,RGB,431327,"['unusually_high_contrast', 'possibly_blurry']",177.2,96.9,2.85
cmtfa6vrx0bu5yc87veplgxit,1459,2088,0.699,jpeg,RGB,271851,['possibly_blurry'],192.2,82.3,2.1
cmtfa6vrl0bu0yc87hts2zwgm,1519,2160,0.703,jpeg,RGB,330333,"['unusually_high_contrast', 'possibly_blurry']",176.7,97.5,2.4
cmtfa6vr90btvyc87s92zi456,1683,2263,0.744,jpeg,RGB,414265,"['unusually_high_contrast', 'possibly_blurry']",167.1,95.1,2.4
cmtfa6vr20btqyc87756qh9mh,1836,2741,0.67,jpeg,RGB,655118,"['unusually_high_contrast', 'possibly_blurry']",174.1,90.8,3.86
cmtfa6vqv0btlyc8795pci3p9,1836,2756,0.666,jpeg,RGB,440293,['possibly_blurry'],184.2,73.1,1.57
cmtfa6vqp0btgyc877mqss32b,1720,2116,0.813,jpeg,RGB,328831,['possibly_blurry'],173.3,81.3,1.68
cmtfa6vqj0btbyc87awam92u7,1056,1743,0.606,jpeg,RGB,176933,['possibly_blurry'],191.6,84.1,2.36
cmtfa6vqd0bt6yc87xwmjin58,1251,2243,0.558,jpeg,RGB,269138,"['unusually_high_contrast', 'possibly_blurry']",175.5,97.2,2.09
cmtfa6vq70bt1yc87j7ke8rai,1533,2287,0.67,jpeg,RGB,307512,"['unusually_high_contrast', 'possibly_blurry']",177.9,93.3,1.72
cmtfa6vq20bswyc87g4lm6o6f,1179,2406,0.49,jpeg,RGB,247551,"['unusually_high_contrast', 'possibly_blurry']",187.2,87.7,1.95
cmtfa6vpv0bsryc87rmk1kjof,1436,2110,0.681,jpeg,RGB,280777,['possibly_blurry'],185.1,83.8,1.83
cmtfa6vpp0bsmyc87rgkl2uhv,1636,2206,0.742,jpeg,RGB,386983,['possibly_blurry'],178.4,84.0,2.44
cmtfa6vpk0bshyc87gyqfdnru,1728,2778,0.622,jpeg,RGB,507460,"['unusually_high_contrast', 'possibly_blurry']",184.5,94.1,2.92
cmtfa6vpf0bscyc8775t8bto4,1406,1518,0.926,jpeg,RGB,201178,['possibly_blurry'],183.7,84.8,2.08
cmtfa6vpa0bs7yc87jevqjusy,1632,2135,0.764,jpeg,RGB,407761,['possibly_blurry'],170.9,81.6,2.66
cmtfa6vp40bs2yc87l1cflwmc,1117,1923,0.581,jpeg,RGB,231822,"['unusually_high_contrast', 'possibly_blurry']",170.7,101.1,2.77
cmtfa6voy0brxyc87ozamiyt7,1054,1607,0.656,jpeg,RGB,172704,"['unusually_high_contrast', 'possibly_blurry']",185.3,89.1,2.35
cmtfa6vou0brsyc871dilgu9x,1531,2354,0.65,jpeg,RGB,320674,['possibly_blurry'],189.2,74.8,1.76
cmtfa6vop0brnyc873cuv6h48,1447,1576,0.918,jpeg,RGB,215852,['possibly_blurry'],188.1,78.5,2.08
cmtfa6vol0briyc87mwzdvgs5,1544,2159,0.715,jpeg,RGB,302198,['possibly_blurry'],196.2,75.7,1.97
cmtfa6voh0brdyc8748ul783r,1142,2319,0.492,jpeg,RGB,268660,"['unusually_high_contrast', 'possibly_blurry']",180.8,88.8,2.3
